key,Annual leave type,Date of joining,Team,Designation,Employee email,First name,Employment type,Gender,Last name,Other manager email,Manager email,Sub team,Untitled field,Untitled field
37M,"Text_zn3g8w","2024-11-24","Text_fybq9h","Text_a9jddq","Text_31d5bh","Text_8oak0c","Text_32129q","Text_ga252d","Text_3gei8e","Text_c89zmm","Text_4m0ppb","Text_5i01g9","Text_g8loq","Text_g8loq"
DZR,"Text_0375f","2024-10-27","Text_f0xy5g","Text_6s4v6o","Text_2lzhdh","Text_kv023","Text_015ril","Text_toziz","Text_i659va","Text_ch1xbr","Text_dvord5","Text_gjyuhp","Text_b5dbxr","Text_b5dbxr"
4KX,"Text_zf0nom","2025-01-07","Text_9p6p0c","Text_03tigo","Text_m308fg","Text_4pm6n","Text_wxr9xh","Text_b09mq","Text_y8z60b","Text_j54k8c","Text_yueu9r","Text_7hpw2e","Text_0tylbd","Text_0tylbd"
H68,"Text_lzcyd7c","2024-11-25","Text_1ze1xr","Text_xs1nb6","Text_8f3rl","Text_eoewx","Text_35nv57","Text_hklajr","Text_wx39o8","Text_mqhps9p","Text_lfiilv","Text_2sb52","Text_gmebxl","Text_gmebxl"
YEY,"Text_4cmady","2024-11-17","Text_q240e2","Text_bbipmb","Text_lv5sbe","Text_cyfesh","Text_k1bjznm","Text_0fxmdl","Text_ffikj","Text_324rg","Text_b5zril","Text_bsf81p","Text_cjjs8m","Text_cjjs8m"
PGG,"Text_vldq7","2024-12-25","Text_bshtam","Text_fc7f2p","Text_tl47zji","Text_rpj4nc","Text_vapm","Text_xqsoll","Text_od9qva","Text_h22kh","Text_xawxmb","Text_jfhu1j","Text_5kklnh","Text_5kklnh"
CCM,"Text_7nzy7","2024-10-07","Text_l54f4b","Text_uwfwvk","Text_g1cdjs","Text_3koln9","Text_u1bq9u","Text_1g49do","Text_nunw6k","Text_e923en","Text_dpwqjc","Text_ruk035","Text_81slpm","Text_81slpm"
OHO,"Text_p0w2mj","2024-10-18","Text_oxdgn","Text_ezcban","Text_x43wg","Text_q9ysub","Text_wv4ezl","Text_kv9ku","Text_xgfsng","Text_rtbybv","Text_ewiy7i","Text_95dtg","Text_tqyzy","Text_tqyzy"
PUE,"Text_wk04hb","2025-01-04","Text_g5eexg","Text_uc1y9n","Text_lku7e","Text_fwxagc","Text_ukyba","Text_4s1zrs","Text_2lev1","Text_r30m0w","Text_6ba14","Text_t43aav","Text_r90xiq","Text_r90xiq"
BMN,"Text_sm96h","2024-12-31","Text_2rqca","Text_tofth","Text_3dedeb","Text_x72su9","Text_vo68x4","Text_9fzyk","Text_k2jn66","Text_ofl14","Text_tsjsej","Text_spicbc","Text_65fcve","Text_65fcve"
