key,Project Manager,Regional Manager
DEH,"saradha@kissflow.com","john_doe@bugbug-inbox.com"
BZC,"saradha@kissflow.com","jane_smith@bugbug-inbox.com"
QJY,"john_doe@bugbug-inbox.com","john_doe@bugbug-inbox.com"
6R2,"john_doe@bugbug-inbox.com","saradha@kissflow.com"
IYW,"saradha@kissflow.com","john_doe@bugbug-inbox.com"
I30,"saradha@kissflow.com","john_doe@bugbug-inbox.com"
7HG,"saradha@kissflow.com","jane_smith@bugbug-inbox.com"
REY,"john_doe@bugbug-inbox.com","jane_smith@bugbug-inbox.com"
93N,"jane_smith@bugbug-inbox.com","jane_smith@bugbug-inbox.com"
3GG,"john_doe@bugbug-inbox.com","saradha@kissflow.com"
