"Key","Therapist_Name","Therapist_ID","Specialization","Therapist_Email"
"ID-1","animadverto",5548,"arcus","Sheridan.Collier94@hotmail.com"
"ID-2","ulterius",3014,"solio","Buster.Prohaska@hotmail.com"
"ID-3","autus",3037,"validus","Kip.Renner@gmail.com"
"ID-4","cultellus",1874,"charisma","Reba_Kuhn72@yahoo.com"
"ID-5","eos",2554,"eum","Jayson.Erdman@yahoo.com"
"ID-6","inflammatio",3935,"corrumpo","Rosa60@gmail.com"
"ID-7","avaritia",1697,"coniuratio","Keven.Adams@gmail.com"
"ID-8","cultura",7996,"labore","Amira1@hotmail.com"
"ID-9","curto",4704,"laudantium","Lenora_Prosacco@hotmail.com"
"ID-10","quas",7062,"cogo","Dejon.Orn53@hotmail.com"
